ta	tb	tc	td	te	tf	tg	th	ti	tj	tk	tl	tm	tn
200.4334	200.2253	200.1994	200.0263	200.015	200.8536	200.2183	200.1213	200.3816	200.0798	200.2314	200.1757	199.9299	200.5579
201.4243	201.2292	201.1903	201.0512	201.0149	201.8471	201.2244	201.1393	201.3811	201.0708	201.2218	201.1707	200.9265	201.5694
202.4122	202.2345	202.1834	202.0797	202.016	202.8351	202.2308	202.1602	202.3789	202.0599	202.2105	202.1648	201.9261	202.5807
203.3976	203.2401	203.1783	203.1105	203.0185	203.8168	203.2369	203.1834	203.375	203.0478	203.1978	203.1581	202.9279	203.5919
204.3816	204.2466	204.1745	204.1419	204.0229	204.7929	204.2424	204.2078	204.3694	204.0347	204.1836	204.1491	203.931	204.6027
205.3651	205.2539	205.1721	205.1722	205.0291	205.7646	205.2468	205.2326	205.3632	205.0211	205.168	205.1383	204.935	205.6125
206.3493	206.2618	206.1708	206.2	206.0368	206.7332	206.2505	206.2572	206.3568	206.0088	206.1506	206.1269	205.9393	206.621
207.3347	207.2692	207.1703	207.224	207.0456	207.6999	207.2545	207.281	207.3502	206.9987	207.1322	207.1166	206.9428	207.6275
208.3221	208.2756	208.1706	208.244	208.0548	208.6656	208.2583	208.304	208.3435	207.9913	208.1133	208.1084	207.945	208.6316
209.312	209.2807	209.1707	209.2598	209.0633	209.6295	209.2613	209.3266	209.3366	208.9874	209.0949	209.1031	208.9468	209.6332
210.3048	210.2847	210.1714	210.2708	210.0707	210.5928	210.2607	210.3485	210.3302	209.9872	210.0778	210.1011	209.9481	210.6309
211.3007	211.2874	211.173	211.2779	211.0767	211.5569	211.2561	211.3684	211.3247	210.9908	211.0632	211.1028	210.9484	211.6245
212.2996	212.2889	212.1754	212.2814	212.0809	212.523	212.2476	212.3853	212.3201	211.998	212.0519	212.1082	211.9478	212.6148
213.3016	213.2892	213.1785	213.2815	213.0832	213.492	213.2355	213.3985	213.3167	213.0089	213.0441	213.1174	212.9477	213.6026
214.3067	214.2884	214.1817	214.2803	214.0835	214.464	214.2204	214.4077	214.3144	214.0212	214.0391	214.1301	213.9489	214.5878
215.3143	215.2867	215.185	215.2788	215.082	215.4381	215.2031	215.413	215.3129	215.0331	215.0364	215.145	214.9516	215.5707
216.3229	216.2833	216.1884	216.2772	216.0784	216.414	216.1845	216.4143	216.3109	216.0437	216.0349	216.1606	215.9557	216.5516
217.3309	217.2779	217.1921	217.2757	217.0724	217.3901	217.1656	217.4115	217.3086	217.0526	217.0343	217.1765	216.9609	217.5305
218.3374	218.2706	218.1961	218.2748	218.0663	218.3665	218.1476	218.4046	218.3062	218.0591	218.0345	218.1926	217.9665	218.5079
219.3414	219.2616	219.2011	219.2761	219.0614	219.3435	219.1313	219.3938	219.3037	219.0628	219.0357	219.2078	218.9722	219.4848
220.3419	220.2509	220.2076	220.2795	220.0603	220.3212	220.1174	220.3793	220.3009	220.0638	220.0376	220.2211	219.9776	220.4614
221.3384	221.2386	221.2157	221.2838	221.0635	221.2994	221.1063	221.3618	221.2978	221.0638	221.0397	221.2327	220.9821	221.4378
222.3318	222.2247	222.2254	222.2876	222.0709	222.278	222.098	222.342	222.2946	222.0633	222.0417	222.2434	221.9858	222.4141
223.3238	223.2089	223.236	223.29	223.082	223.2573	223.0927	223.3228	223.2912	223.0619	223.0433	223.2526	222.9883	223.3906
224.315	224.1908	224.2462	224.2899	224.0964	224.238	224.0907	224.3057	224.2881	224.0594	224.0441	224.2596	223.9899	224.368
225.3056	225.17	225.2558	225.2868	225.1136	225.2204	225.0921	225.2916	225.2859	225.0543	225.0433	225.264	224.9913	225.3467
226.2956	226.1468	226.2645	226.28	226.1332	226.2048	226.097	226.2812	226.2845	226.0466	226.04	226.2656	225.9935	226.3266
227.2842	227.1224	227.2724	227.2697	227.1541	227.191	227.1052	227.2749	227.2841	227.0376	227.0342	227.2642	226.9974	227.3074
228.2714	228.098	228.2794	228.2562	228.1754	228.1783	228.1166	228.2731	228.2831	228.0271	228.0274	228.2607	228.0027	228.2889
229.2577	229.0741	229.2856	229.2398	229.1966	229.166	229.1297	229.2749	229.2807	229.0147	229.0204	229.2568	229.009	229.2712
230.2436	230.0511	230.291	230.2213	230.2171	230.1543	230.1434	230.2779	230.2768	230.0016	230.0136	230.2528	230.0156	230.2548
231.2297	231.0291	231.2968	231.202	231.2363	231.1428	231.1567	231.2814	231.2717	230.989	231.0073	231.249	231.0222	231.2401
232.2148	232.0083	232.3036	232.1829	232.2534	232.1315	232.1694	232.2851	232.2659	231.9782	232.002	232.2448	232.0291	232.2262
233.1986	232.9887	233.3114	233.1651	233.2682	233.1206	233.1813	233.2889	233.2594	232.97	232.9982	233.2403	233.0371	233.2132
234.1817	233.9702	234.3199	234.1492	234.2801	234.1101	234.192	234.2923	234.2522	233.9647	233.996	234.2359	234.0456	234.2019
235.1649	234.9531	235.3288	235.135	235.2864	235.1001	235.2015	235.2952	235.2442	234.9627	234.9953	235.232	235.0546	235.1932
236.1496	235.9374	236.3382	236.1227	236.2857	236.091	236.2096	236.2973	236.2353	235.9638	235.9958	236.2283	236.0636	236.1877
237.1365	236.923	237.3486	237.1128	237.2782	237.0838	237.2162	237.2978	237.2243	236.9678	236.9973	237.2245	237.0725	237.1859
238.1256	237.9102	238.3598	238.1061	238.2642	238.079	238.2211	238.2965	238.2112	237.9743	237.9993	238.2201	238.0814	238.1877
239.1172	238.8993	239.3715	239.1026	239.2454	239.0761	239.2248	239.2939	239.196	238.9834	239.0016	239.2152	239.0905	239.1908
240.1121	239.8904	240.3833	240.1024	240.2231	240.0751	240.2293	240.2902	240.1791	239.9949	240.0041	240.2101	240.1015	240.1947
241.1108	240.8843	241.3941	241.1055	241.1988	241.0757	241.2347	241.2857	241.1606	241.0086	241.0064	241.2047	241.115	241.1992
242.1135	241.8813	242.4042	242.1117	242.1747	242.0774	242.2407	242.2808	242.1407	242.0246	242.0085	242.1993	242.131	242.2045
243.1203	242.8814	243.4145	243.1187	243.1518	243.0801	243.2469	243.2757	243.1199	243.0429	243.0102	243.1942	243.1497	243.2105
244.1304	243.8863	244.4246	244.1254	244.1313	244.0835	244.2527	244.2694	244.0987	244.0632	244.0119	244.1903	244.1707	244.2171
245.1431	244.8972	245.4341	245.1323	245.114	245.087	245.2581	245.262	245.0771	245.0848	245.0136	245.1877	245.193	245.2241
246.1573	245.9142	246.4428	246.139	246.1012	246.0898	246.2635	246.2541	246.0541	246.1073	246.0152	246.1865	246.2162	246.2322
247.1726	246.937	247.4504	247.1455	247.0936	247.0917	247.2689	247.2463	247.0295	247.1301	247.0168	247.1866	247.2393	247.241
248.188	247.9651	248.4567	248.1529	248.0916	248.0929	248.2745	248.2393	248.0054	248.152	248.018	248.1881	248.262	248.2495
249.2027	248.9981	249.4617	249.1617	249.0934	249.0939	249.2807	249.2338	248.9828	249.1704	249.0185	249.1907	249.2831	249.2567
250.2158	250.0352	250.4651	250.1719	250.0973	250.0952	250.2874	250.2302	249.9629	250.1864	250.0182	250.1943	250.3014	250.2623
251.2269	251.0758	251.4665	251.1835	251.1032	251.0971	251.2943	251.2294	250.9468	251.2002	251.0176	251.1989	251.3165	251.2659
252.2354	252.1183	252.4656	252.1957	252.1108	252.1	252.3011	252.2322	251.9346	252.2116	252.017	252.2043	252.3283	252.2678
253.2408	253.1616	253.4633	253.2077	253.1193	253.1042	253.3071	253.2375	252.9264	253.2207	253.0168	253.2103	253.3369	253.2685
254.2429	254.2047	254.4604	254.2186	254.1276	254.1101	254.3116	254.2451	253.9217	254.2289	254.0175	254.2169	254.3426	254.2683
255.2417	255.2456	255.4567	255.2277	255.1351	255.1176	255.3141	255.2549	254.9202	255.2363	255.0195	255.2247	255.3453	255.2675
256.2382	256.2832	256.4521	256.2357	256.1417	256.1263	256.3145	256.2666	255.9215	256.2429	256.023	256.2335	256.3455	256.2662
257.2332	257.3168	257.4464	257.2429	257.1468	257.1364	257.3126	257.28	256.9248	257.2489	257.0284	257.2429	257.3434	257.2646
258.2269	258.3455	258.4392	258.2491	258.1501	258.1476	258.3087	258.2941	257.9291	258.2543	258.0356	258.2527	258.3388	258.2627
259.2209	259.369	259.4302	259.2545	259.1503	259.1591	259.303	259.3081	258.934	259.2583	259.0446	259.2627	259.3322	259.2612
260.2156	260.387	260.4201	260.2588	260.1462	260.1694	260.2956	260.3224	259.939	260.2587	260.0546	260.2721	260.3235	260.2606
261.211	261.3996	261.4103	261.2621	261.1378	261.1783	261.2869	261.3364	260.9439	261.2553	261.0652	261.2789	261.3127	261.261
262.2068	262.4081	262.4019	262.2646	262.1255	262.1862	262.2769	262.3495	261.9484	262.2481	262.0759	262.2832	262.301	262.2629
263.203	263.4126	263.3952	263.266	263.1098	263.1934	263.2661	263.3613	262.952	263.2372	263.0866	263.2851	263.2888	263.2662
264.1994	264.4137	264.3905	264.2662	264.0914	264.2	264.2541	264.3709	263.9547	264.2229	264.0975	264.2848	264.2764	264.2711
265.1958	265.4127	265.388	265.2658	265.0737	265.2057	265.2404	265.378	264.957	265.2056	265.1088	265.2826	265.2642	265.2776
266.192	266.4102	266.3877	266.2652	266.0571	266.2105	266.2257	266.3819	265.9598	266.1864	266.1204	266.279	266.2511	266.2858
267.188	267.4065	267.3899	267.2644	267.0395	267.2144	267.2114	267.3816	266.9635	267.1659	267.1324	267.2744	267.237	267.2956
268.1838	268.4021	268.3936	268.2639	268.0218	268.2172	268.2004	268.3772	267.9688	268.1446	268.1446	268.2693	268.222	268.3064
269.1793	269.3969	269.398	269.2636	269.0047	269.2188	269.193	269.369	268.9759	269.1229	269.1564	269.2643	269.2062	269.3176
270.175	270.3913	270.4033	270.2638	269.989	270.2194	270.1893	270.3572	269.9846	270.1014	270.1676	270.2598	270.1899	270.3289
271.1716	271.3865	271.4099	271.2642	270.9755	271.2209	271.189	271.3421	270.9953	271.0802	271.1784	271.2562	271.1728	271.3399
272.1701	272.3823	272.4184	272.2638	271.9647	272.2236	272.1917	272.3246	272.0081	272.0609	272.1884	272.2538	272.1553	272.3502
273.172	273.3777	273.4291	273.2628	272.9573	273.2271	273.1968	273.3072	273.0233	273.0446	273.1967	273.2528	273.1384	273.3605
274.1771	274.3733	274.4419	274.2618	273.9539	274.2291	274.2036	274.2911	274.0404	274.0316	274.2036	274.2528	274.1224	274.3708
275.1852	275.3693	275.4568	275.2605	274.9545	275.2293	275.2116	275.2769	275.0582	275.0226	275.2103	275.2536	275.1083	275.3809
276.1958	276.3661	276.4743	276.2592	275.9589	276.2277	276.2205	276.2649	276.076	276.0178	276.2167	276.255	276.0982	276.3905
277.2082	277.3641	277.494	277.2592	276.9672	277.2243	277.2302	277.2536	277.0937	277.0169	277.2225	277.2574	277.0912	277.3992
278.222	278.3636	278.5153	278.2594	277.9792	278.2195	278.2402	278.2398	278.1107	278.0201	278.2276	278.2606	278.0864	278.4056
279.2367	279.3646	279.537	279.2591	278.9946	279.2134	279.2498	279.2235	279.127	279.0274	279.2318	279.2643	279.0837	279.4094
280.2513	280.3672	280.5585	280.2584	280.0128	280.2061	280.2583	280.2061	280.1416	280.0386	280.2349	280.268	280.0829	280.4109
281.2658	281.3714	281.5792	281.2574	281.0332	281.198	281.2651	281.1884	281.1542	281.053	281.2366	281.2712	281.0838	281.4102
282.2801	282.3774	282.5984	282.2564	282.0548	282.1896	282.2693	282.1711	282.1646	282.0692	282.2368	282.2736	282.0863	282.4075
283.2933	283.3856	283.6147	283.2554	283.0769	283.1823	283.2701	283.1544	283.1724	283.0856	283.2361	283.2748	283.0897	283.403
284.3047	284.3958	284.6275	284.2546	284.0986	284.1778	284.2678	284.1398	284.1773	284.1008	284.2339	284.2745	284.0941	284.3969
285.3143	285.4066	285.6364	285.2541	285.1193	285.1762	285.2629	285.1277	285.1788	285.1143	285.2294	285.2726	285.0994	285.3891
286.3221	286.4172	286.6408	286.2539	286.1395	286.1772	286.2566	286.1179	286.1775	286.1255	286.223	286.2687	286.1056	286.3799
287.3283	287.4265	287.641	287.2542	287.1591	287.1807	287.2494	287.1107	287.1735	287.1361	287.2148	287.2636	287.1129	287.3698
288.3312	288.4337	288.6368	288.255	288.1767	288.1861	288.2415	288.107	288.167	288.1464	288.2052	288.259	288.121	288.359
289.3305	289.4377	289.6289	289.257	289.1914	289.1933	289.2339	289.1076	289.1581	289.156	289.1947	289.2545	289.13	289.3478
290.3265	290.4377	290.6172	290.2599	290.2026	290.2018	290.2271	290.1119	290.1471	290.1645	290.1835	290.2499	290.1398	290.3364
291.321	291.4332	291.6025	291.2636	291.2107	291.2113	291.2219	291.12	291.1344	291.1717	291.174	291.246	291.15	291.3252
292.3152	292.4241	292.5859	292.2684	292.2162	292.222	292.2193	292.1317	292.1203	292.1783	292.1674	292.2443	292.1605	292.3146
293.3091	293.4113	293.5685	293.2763	293.2215	293.2336	293.2216	293.1474	293.1063	293.1854	293.164	293.2447	293.1714	293.3049
294.3027	294.3962	294.5508	294.2872	294.2268	294.2455	294.2292	294.167	294.0929	294.1929	294.1635	294.2471	294.1828	294.2957
295.2968	295.379	295.5333	295.3001	295.2313	295.2572	295.2419	295.1902	295.0804	295.2012	295.1654	295.2515	295.1943	295.2868
296.2921	296.3602	296.5171	296.3144	296.2331	296.2684	296.2572	296.2162	296.0692	296.2108	296.1691	296.2582	296.2059	296.2776
297.2891	297.3408	297.5021	297.3299	297.2324	297.2786	297.2743	297.2441	297.0597	297.2217	297.174	297.2673	297.2174	297.2675
298.2881	298.3223	298.4887	298.3458	298.2295	298.2884	298.2932	298.2742	298.0521	298.2337	298.1794	298.2784	298.2285	298.2566
299.2892	299.3055	299.4771	299.3614	299.2249	299.2978	299.3133	299.3056	299.0479	299.2466	299.1846	299.291	299.2393	299.2446
300.2919	300.2909	300.4676	300.3763	300.2187	300.306	300.3347	300.3364	300.0483	300.2599	300.1889	300.3047	300.2503	300.2318
301.2952	301.279	301.46	301.3905	301.2109	301.313	301.3578	301.365	301.0532	301.2732	301.1923	301.3188	301.2614	301.2181
302.2978	302.2698	302.454	302.4031	302.2025	302.3197	302.3812	302.3903	302.0623	302.286	302.1944	302.3329	302.2723	302.204
303.2998	303.2628	303.4497	303.4151	303.1944	303.3279	303.404	303.4115	303.0747	303.2973	303.1952	303.3464	303.2823	303.1892
304.3011	304.2582	304.4475	304.4254	304.1871	304.3372	304.4252	304.4278	304.0891	304.3068	304.1946	304.3588	304.291	304.1743
305.302	305.2565	305.4474	305.4316	305.1813	305.3478	305.4437	305.4391	305.1053	305.3151	305.193	305.3697	305.2985	305.1606
306.3031	306.257	306.4489	306.4335	306.1771	306.359	306.4585	306.4466	306.1224	306.322	306.1904	306.378	306.3046	306.1488
307.3044	307.2611	307.4521	307.4312	307.175	307.3707	307.4692	307.4523	307.1397	307.3273	307.1873	307.3823	307.3096	307.1413
308.3056	308.2679	308.4575	308.4248	308.1757	308.3825	308.4754	308.4567	308.1564	308.3307	308.1838	308.3828	308.3135	308.1385
309.3069	309.2777	309.4657	309.4162	309.1795	309.3941	309.4768	309.4604	309.1718	309.332	309.1801	309.3816	309.317	309.1397
310.3074	310.2909	310.477	310.4068	310.1864	310.4054	310.4741	310.4635	310.1855	310.3309	310.1762	310.3793	310.321	310.1445
311.3069	311.3068	311.491	311.3969	311.196	311.4161	311.4676	311.4666	311.1971	311.3277	311.1727	311.3761	311.327	311.1527
312.3052	312.325	312.5067	312.3869	312.2083	312.4258	312.4578	312.4698	312.2068	312.3237	312.1703	312.3727	312.3354	312.164
313.3022	313.3447	313.5236	313.3768	313.2225	313.4338	313.4448	313.473	313.2151	313.3184	313.1694	313.37	313.3457	313.1775
314.2978	314.365	314.542	314.3666	314.2383	314.4412	314.4288	314.4755	314.2218	314.3104	314.1688	314.3681	314.3572	314.1927
315.2919	315.3853	315.5608	315.3546	315.255	315.4493	315.4108	315.4771	315.2271	315.3002	315.1686	315.3672	315.3695	315.2087
316.2867	316.4046	316.5788	316.3405	316.2719	316.4578	316.3918	316.4772	316.2311	316.2884	316.1694	316.3674	316.3824	316.2249
317.2815	317.4224	317.5952	317.3247	317.2896	317.4662	317.373	317.4757	317.2339	317.275	317.1714	317.3694	317.3956	317.2407
318.2761	318.4381	318.6093	318.3074	318.3078	318.4741	318.3556	318.4724	318.2357	318.2604	318.1752	318.3723	318.4087	318.2553
319.2706	319.4525	319.6202	319.289	319.326	319.4811	319.341	319.4671	319.2367	319.2451	319.1811	319.3761	319.4211	319.2683
320.2648	320.4648	320.6276	320.27	320.3424	320.4872	320.3297	320.4599	320.2371	320.23	320.1884	320.3803	320.4326	320.2794
321.2587	321.4743	321.6319	321.2505	321.3558	321.4921	321.3214	321.451	321.2372	321.2155	321.1954	321.3842	321.4432	321.2884
322.2526	322.4807	322.6331	322.2293	322.3656	322.496	322.3145	322.439	322.2372	322.2021	322.2026	322.3857	322.4526	322.2952
323.2466	323.4834	323.6314	323.2048	323.3714	323.4996	323.3078	323.4238	323.2375	323.1895	323.2102	323.3842	323.4607	323.2998
324.2409	324.4828	324.627	324.1776	324.375	324.5029	324.3023	324.4062	324.2383	324.1779	324.2184	324.3788	324.4677	324.3035
325.2351	325.4808	325.6203	325.1493	325.3763	325.5063	325.2988	325.3877	325.2407	325.1682	325.2274	325.3692	325.4717	325.3072
326.2294	326.478	326.6114	326.121	326.3751	326.5098	326.2969	326.3694	326.2448	326.1613	326.2373	326.3556	326.472	326.3118
327.2228	327.4742	327.6004	327.0941	327.3719	327.5138	327.2947	327.3521	327.2489	327.1571	327.2483	327.3384	327.4689	327.3162
328.2153	328.4698	328.5883	328.07	328.367	328.5185	328.2918	328.337	328.2531	328.1562	328.2603	328.3181	328.4632	328.3205
329.2071	329.4648	329.5746	329.0497	329.3611	329.5237	329.2889	329.3242	329.2569	329.1585	329.2758	329.2953	329.4547	329.3242
330.1987	330.4585	330.5598	330.0346	330.355	330.5293	330.2866	330.3136	330.2606	330.1643	330.2962	330.2709	330.4432	330.3278
331.1902	331.4512	331.545	331.0254	331.3505	331.5349	331.2852	331.3047	331.2643	331.1733	331.3209	331.2468	331.4297	331.3326
332.1822	332.4435	332.5309	332.0229	332.3484	332.5405	332.2851	332.2975	332.2673	332.1854	332.3497	332.2245	332.4148	332.3387
333.1747	333.4348	333.5175	333.0276	333.3486	333.5453	333.2867	333.2924	333.2692	333.2003	333.3826	333.2057	333.3994	333.3458
334.1681	334.4248	334.5045	334.0391	334.3513	334.5489	334.2903	334.2896	334.27	334.2172	334.4189	334.1904	334.3842	334.3553
335.1619	335.4141	335.4905	335.0565	335.3565	335.5516	335.296	335.2887	335.2705	335.2355	335.4575	335.1791	335.3705	335.364
336.1555	336.4011	336.4748	336.0775	336.3642	336.5533	336.3041	336.2894	336.2711	336.2541	336.4966	336.1719	336.3591	336.3705
337.1492	337.3845	337.4574	337.101	337.3739	337.5544	337.3144	337.2916	337.2718	337.2718	337.534	337.169	337.3508	337.3742
338.1438	338.3646	338.4379	338.1254	338.3851	338.5563	338.3252	338.2956	338.2719	338.2878	338.5679	338.1686	338.3454	338.374
339.1404	339.3426	339.4163	339.1508	339.3972	339.5586	339.3347	339.3017	339.2723	339.3025	339.5971	339.1696	339.3419	339.3684
340.1394	340.3192	340.3931	340.1771	340.4096	340.5609	340.3422	340.31	340.2732	340.3166	340.6205	340.1724	340.3401	340.3572
341.1409	341.2951	341.369	341.2032	341.4217	341.563	341.3477	341.3208	341.2744	341.3289	341.6379	341.1774	341.3401	341.3408
342.145	342.2715	342.3447	342.2274	342.4317	342.5649	342.3519	342.334	342.2759	342.339	342.6511	342.1847	342.3418	342.3198
343.152	343.2494	343.321	343.2483	343.4387	343.5663	343.3552	343.3489	343.2781	343.3463	343.6596	343.1943	343.3448	343.2949
344.1619	344.2298	344.2985	344.2654	344.4424	344.5661	344.358	344.3641	344.2812	344.352	344.6636	344.2065	344.349	344.267
345.174	345.2134	345.2773	345.2793	345.4429	345.5639	345.3605	345.379	345.2855	345.3565	345.6632	345.2212	345.3535	345.2367
346.1866	346.1989	346.2576	346.2897	346.4426	346.5598	346.3628	346.3933	346.2923	346.3602	346.6591	346.2383	346.3575	346.2052
347.1985	347.1862	347.2401	347.2961	347.4426	347.5536	347.3661	347.4075	347.3012	347.3614	347.6511	347.2575	347.3607	347.1734
348.2091	348.1763	348.2244	348.2979	348.4432	348.5454	348.3718	348.4207	348.3114	348.3596	348.6394	348.2785	348.3628	348.143
349.2179	349.1693	349.2097	349.2953	349.4444	349.5343	349.38	349.4326	349.3217	349.3551	349.6246	349.3009	349.3632	349.1151
350.2252	350.1656	350.1953	350.2885	350.4463	350.5197	350.3903	350.4436	350.3312	350.3482	350.6078	350.3241	350.3618	350.09
351.2312	351.1654	351.1814	351.2776	351.4492	351.5011	351.4024	351.4531	351.3394	351.3391	351.5898	351.3476	351.3596	351.0671
352.2354	352.1685	352.1682	352.2631	352.4524	352.4789	352.4173	352.4604	352.346	352.3282	352.5717	352.371	352.3569	352.0452
353.2378	353.1758	353.1561	353.2456	353.4552	353.4535	353.4352	353.4654	353.3509	353.3162	353.5547	353.3939	353.3535	353.0241
354.2379	354.1862	354.1453	354.2257	354.4573	354.4258	354.4547	354.4679	354.3536	354.3038	354.5391	354.4158	354.3514	354.0045
355.2361	355.1991	355.1365	355.2043	355.4588	355.3951	355.475	355.468	355.3549	355.2917	355.5255	355.4366	355.3505	354.9872
356.2322	356.2136	356.1299	356.1823	356.4602	356.3619	356.4955	356.4658	356.3558	356.28	356.5142	356.4558	356.3505	355.9729
357.2274	357.2293	357.1255	357.1602	357.4615	357.3271	357.5151	357.4617	357.3561	357.2693	357.5064	357.4733	357.3507	356.9621
358.2231	358.2461	358.1237	358.1391	358.4628	358.2919	358.5333	358.457	358.356	358.2596	358.5026	358.489	358.3497	357.955
359.2198	359.2633	359.1245	359.1206	359.4622	359.256	359.5495	359.452	359.3556	359.2513	359.4995	359.5027	359.3468	358.9502
360.2178	360.2803	360.1283	360.1061	360.4596	360.2202	360.5629	360.4467	360.3553	360.2446	360.4966	360.5143	360.3423	359.9485
361.2172	361.2963	361.135	361.0961	361.4548	361.1856	361.5727	361.4414	361.3552	361.24	361.4949	361.5236	361.3363	360.9511
362.2181	362.3114	362.1446	362.0906	362.4474	362.1535	362.5787	362.4361	362.3554	362.2377	362.4951	362.5303	362.3281	361.9557
363.2209	363.3261	363.1568	363.0876	363.4375	363.125	363.5801	363.431	363.357	363.238	363.4967	363.5347	363.3179	362.9623
364.2255	364.34	364.1712	364.0856	364.4256	364.1014	364.5762	364.4253	364.3615	364.2408	364.4994	364.5356	364.3065	363.9726
365.2318	365.3536	365.1873	365.0842	365.4117	365.0846	365.5685	365.4187	365.3683	365.2455	365.5025	365.5323	365.2949	364.9864
366.2391	366.3673	366.205	366.0833	366.3957	366.0751	366.5582	366.412	366.3776	366.2518	366.5056	366.5254	366.2833	366.003
367.2464	367.3805	367.2233	367.0823	367.3777	367.073	367.5463	367.4063	367.389	367.2595	367.5081	367.5157	367.2722	367.0222
368.2531	368.3926	368.2424	368.0807	368.3587	368.0766	368.5333	368.4026	368.4023	368.2686	368.5099	368.5037	368.2619	368.0435
369.2595	369.4035	369.2623	369.0777	369.3396	369.0862	369.5201	369.3991	369.4169	369.2789	369.5126	369.4895	369.2523	369.0668
370.2656	370.4125	370.283	370.0707	370.3214	370.1017	370.5063	370.3948	370.431	370.2894	370.5161	370.4737	370.2436	370.0916
371.2702	371.4196	371.3038	371.06	371.3053	371.1228	371.4917	371.3893	371.4453	371.2994	371.5198	371.4568	371.2356	371.1181
372.2732	372.4246	372.3235	372.0459	372.2924	372.1487	372.4771	372.3831	372.4604	372.3083	372.5235	372.4391	372.2279	372.1465
373.2751	373.4273	373.3417	373.0303	373.2859	373.1799	373.4631	373.377	373.4759	373.3157	373.5267	373.4212	373.2202	373.1768
374.276	374.4281	374.3575	374.0145	374.286	374.215	374.4505	374.3714	374.4914	374.3208	374.5293	374.4036	374.2123	374.2083
375.2763	375.4267	375.3703	374.9991	375.2927	375.2527	375.4403	375.3672	375.5071	375.3232	375.5308	375.3878	375.2033	375.2401
376.2763	376.4228	376.3795	375.9846	376.3055	376.2938	376.4328	376.3644	376.5223	376.3236	376.531	376.3744	376.1926	376.2718
377.2764	377.4181	377.3852	376.9713	377.3235	377.3376	377.4281	377.3635	377.5364	377.3242	377.531	377.3637	377.1801	377.3028
378.2777	378.4133	378.3886	377.9597	378.3455	378.3829	378.4246	378.3644	378.5492	378.3258	378.5309	378.3563	378.1664	378.3328
379.2811	379.4085	379.3892	378.9499	379.3699	379.4291	379.4211	379.3659	379.5608	379.3282	379.5309	379.3521	379.1518	379.3613
380.2863	380.4038	380.3862	379.9421	380.3954	380.4749	380.4173	380.3676	380.5708	380.3314	380.5323	380.3513	380.1369	380.388
381.2929	381.3995	381.3803	380.936	381.4216	381.5193	381.413	381.3693	381.5789	381.3357	381.5349	381.3535	381.1223	381.4127
382.3013	382.3946	382.3725	381.9314	382.4465	382.5612	382.4078	382.3709	382.5851	382.3412	382.5376	382.3582	382.1086	382.4351
383.313	383.3889	383.3639	382.9278	383.4673	383.5995	383.4018	383.3719	383.5894	383.3469	383.5405	383.3633	383.0958	383.4549
384.3279	384.3825	384.3552	383.925	384.4826	384.6336	384.3949	384.3721	384.5915	384.3521	384.5428	384.3668	384.082	384.4721
385.3448	385.3755	385.3468	384.9218	385.4916	385.6627	385.3878	385.3721	385.5915	385.3564	385.5442	385.3683	385.0669	385.487
386.3631	386.3682	386.3395	385.9179	386.4942	386.6868	386.3812	386.3718	386.5895	386.36	386.5448	386.3683	386.0512	386.5015
387.3817	387.361	387.3335	386.9132	387.4928	387.7091	387.375	387.3712	387.5858	387.3626	387.5448	387.3666	387.0356	387.5156
388.3997	388.3542	388.3291	387.9076	388.4877	388.7294	388.371	388.3706	388.5818	388.3641	388.5446	388.3636	388.0208	388.528
389.4161	389.3478	389.3264	388.9016	389.4787	389.7478	389.3695	389.3707	389.578	389.3646	389.5434	389.3596	389.0067	389.5385
390.4302	390.3405	390.3251	389.8954	390.4662	390.7645	390.3707	390.3711	390.5743	390.364	390.541	390.3545	389.9937	390.5474
391.4413	391.3329	391.3247	390.8886	391.4505	391.7792	391.3746	391.3711	391.5711	391.3648	391.5377	391.3486	390.9825	391.5537
392.449	392.3251	392.3254	391.882	392.4317	392.7916	392.3807	392.3707	392.5688	392.3672	392.5335	392.3421	391.9737	392.5567
393.4532	393.3172	393.3273	392.8768	393.4107	393.8008	393.3883	393.37	393.5662	393.371	393.5291	393.3364	392.9685	393.5565
394.4547	394.3103	394.3304	393.8737	394.3893	394.8074	394.3969	394.3693	394.5627	394.3761	394.5255	394.3317	393.9675	394.554
395.4541	395.3065	395.3352	394.8739	395.3683	395.8114	395.4059	395.3687	395.5587	395.3825	395.5225	395.3281	394.9708	395.5499
396.4514	396.3064	396.3416	395.8776	396.3486	396.8122	396.4147	396.3683	396.5543	396.39	396.5201	396.3255	395.9788	396.5444
397.4475	397.3105	397.3492	396.8847	397.331	397.8102	397.4227	397.3679	397.549	397.3973	397.5179	397.324	396.9914	397.538
398.4424	398.319	398.3577	397.8953	398.3162	398.8053	398.4297	398.3667	398.544	398.404	398.5144	398.3237	398.0083	398.5313
399.4368	399.3305	399.3668	398.9089	399.3046	399.798	399.4358	399.3646	399.5392	399.4091	399.5103	399.3245	399.0293	399.5242
400.4307	400.344	400.3761	399.9253	400.2954	400.7883	400.4409	400.3618	400.535	400.4118	400.5061	400.326	400.0538	400.5161
401.4246	401.3593	401.3853	400.9445	401.2869	401.7757	401.4448	401.3586	401.53	401.4116	401.5016	401.3276	401.0811	401.5072
402.4186	402.3747	402.3951	401.9665	402.2791	402.7592	402.4472	402.3564	402.5241	402.4084	402.4972	402.3291	402.112	402.4981
